********* Type 2 ***********
------- Group1  count: 10000--------
1.1 BST Insert:    94735us
1.2 BST Search:    29826us
1.3 BST Delete:    714512us
2.1 AVL Insert:    537625us
2.2 AVLT Search:   73us
2.3 AVLT Delete:   252171us
3.1 BT Insert:    11321us
3.2 BT Search:    242us
3.3 BT Delete:    3838us
4.1 RBTree Insert:    250243us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    482484us
------- Group2  count: 30000--------
1.1 BST Insert:    1306588us
1.2 BST Search:    36072us
1.3 BST Delete:    2599012us
2.1 AVL Insert:    799681us
2.2 AVLT Search:   83us
2.3 AVLT Delete:   858931us
3.1 BT Insert:    17945us
3.2 BT Search:    273us
3.3 BT Delete:    13282us
4.1 RBTree Insert:    322126us
4.2 RBTree Search:    60us
4.3 RBTree Delete:    1324072us
------- Group3  count: 50000--------
1.1 BST Insert:    2474294us
1.2 BST Search:    32012us
1.3 BST Delete:    4736797us
2.1 AVL Insert:    916388us
2.2 AVLT Search:   65us
2.3 AVLT Delete:   1419481us
3.1 BT Insert:    25956us
3.2 BT Search:    272us
3.3 BT Delete:    23695us
4.1 RBTree Insert:    390956us
4.2 RBTree Search:    63us
4.3 RBTree Delete:    3266755us
------- Group4  count: 70000--------
1.1 BST Insert:    4429595us
1.2 BST Search:    32927us
1.3 BST Delete:    6866357us
2.1 AVL Insert:    889151us
2.2 AVLT Search:   86us
2.3 AVLT Delete:   2225683us
3.1 BT Insert:    30700us
3.2 BT Search:    242us
3.3 BT Delete:    37290us
4.1 RBTree Insert:    35837us
4.2 RBTree Search:    61us
4.3 RBTree Delete:    2606155us
------- Group5  count: 90000--------
1.1 BST Insert:    7268090us
1.2 BST Search:    34064us
1.3 BST Delete:    11329987us
2.1 AVL Insert:    539147us
2.2 AVLT Search:   84us
2.3 AVLT Delete:   2944933us
3.1 BT Insert:    20045us
3.2 BT Search:    281us
3.3 BT Delete:    53683us
4.1 RBTree Insert:    46898us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    5877465us
------- Group6  count: 110000--------
1.1 BST Insert:    10201447us
1.2 BST Search:    37065us
1.3 BST Delete:    18073225us
2.1 AVL Insert:    981732us
2.2 AVLT Search:   73us
2.3 AVLT Delete:   3592424us
3.1 BT Insert:    34180us
3.2 BT Search:    270us
3.3 BT Delete:    65649us
4.1 RBTree Insert:    63437us
4.2 RBTree Search:    53us
4.3 RBTree Delete:    3447005us
------- Group7  count: 130000--------
1.1 BST Insert:    14764651us
1.2 BST Search:    35810us
1.3 BST Delete:    24245855us
2.1 AVL Insert:    1129800us
2.2 AVLT Search:   88us
2.3 AVLT Delete:   4195403us
3.1 BT Insert:    36194us
3.2 BT Search:    426us
3.3 BT Delete:    79680us
4.1 RBTree Insert:    67030us
4.2 RBTree Search:    64us
4.3 RBTree Delete:    6034155us
------- Group8  count: 150000--------
1.1 BST Insert:    21576627us
1.2 BST Search:    35769us
1.3 BST Delete:    32538233us
2.1 AVL Insert:    2113908us
2.2 AVLT Search:   89us
2.3 AVLT Delete:   4777055us
3.1 BT Insert:    55406us
3.2 BT Search:    231us
3.3 BT Delete:    90372us
4.1 RBTree Insert:    88397us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    5742406us
------- Group9  count: 170000--------
1.1 BST Insert:    28902450us
1.2 BST Search:    35756us
1.3 BST Delete:    42225684us
2.1 AVL Insert:    2223630us
2.2 AVLT Search:   87us
2.3 AVLT Delete:   5430312us
3.1 BT Insert:    88616us
3.2 BT Search:    271us
3.3 BT Delete:    105974us
4.1 RBTree Insert:    624255us
4.2 RBTree Search:    61us
4.3 RBTree Delete:    9087545us
------- Group10  count: 190000--------
1.1 BST Insert:    41466659us
1.2 BST Search:    34101us
1.3 BST Delete:    53128596us
2.1 AVL Insert:    2451010us
2.2 AVLT Search:   96us
2.3 AVLT Delete:   6690992us
3.1 BT Insert:    110902us
3.2 BT Search:    217us
3.3 BT Delete:    132269us
4.1 RBTree Insert:    1857556us
4.2 RBTree Search:    85us
4.3 RBTree Delete:    13454899us
------- Group11  count: 210000--------
1.1 BST Insert:    54176984us
1.2 BST Search:    36701us
1.3 BST Delete:    68110183us
2.1 AVL Insert:    4523603us
2.2 AVLT Search:   75us
2.3 AVLT Delete:   7431474us
3.1 BT Insert:    122339us
3.2 BT Search:    286us
3.3 BT Delete:    150272us
4.1 RBTree Insert:    3186775us
4.2 RBTree Search:    66us
4.3 RBTree Delete:    14607359us
------- Group12  count: 230000--------
1.1 BST Insert:    69655692us
1.2 BST Search:    36028us
1.3 BST Delete:    87272642us
2.1 AVL Insert:    7726706us
2.2 AVLT Search:   93us
2.3 AVLT Delete:   8021428us
3.1 BT Insert:    140209us
3.2 BT Search:    273us
3.3 BT Delete:    156824us
4.1 RBTree Insert:    2917984us
4.2 RBTree Search:    67us
4.3 RBTree Delete:    16201619us
------- Group13  count: 250000--------
1.1 BST Insert:    88383546us
1.2 BST Search:    36394us
1.3 BST Delete:    106330544us
2.1 AVL Insert:    7262816us
2.2 AVLT Search:   95us
2.3 AVLT Delete:   9045535us
3.1 BT Insert:    144158us
3.2 BT Search:    247us
3.3 BT Delete:    181370us
4.1 RBTree Insert:    3824066us
4.2 RBTree Search:    66us
4.3 RBTree Delete:    17104119us
------- Group14  count: 270000--------
1.1 BST Insert:    107180072us
1.2 BST Search:    36496us
1.3 BST Delete:    127745519us
2.1 AVL Insert:    8628806us
2.2 AVLT Search:   81us
2.3 AVLT Delete:   9469654us
3.1 BT Insert:    172483us
3.2 BT Search:    294us
3.3 BT Delete:    199669us
4.1 RBTree Insert:    3822268us
4.2 RBTree Search:    63us
4.3 RBTree Delete:    20723584us
------- Group15  count: 290000--------
1.1 BST Insert:    127876958us
1.2 BST Search:    35867us
1.3 BST Delete:    152316477us
2.1 AVL Insert:    5768540us
2.2 AVLT Search:   75us
2.3 AVLT Delete:   11070203us
3.1 BT Insert:    177182us
3.2 BT Search:    267us
3.3 BT Delete:    220263us
4.1 RBTree Insert:    2088799us
4.2 RBTree Search:    67us
4.3 RBTree Delete:    20957960us
------- Group16  count: 310000--------
1.1 BST Insert:    149939445us
1.2 BST Search:    35714us
1.3 BST Delete:    170369729us
2.1 AVL Insert:    6037575us
2.2 AVLT Search:   91us
2.3 AVLT Delete:   11231956us
3.1 BT Insert:    191843us
3.2 BT Search:    245us
3.3 BT Delete:    202113us
4.1 RBTree Insert:    1056127us
4.2 RBTree Search:    67us
4.3 RBTree Delete:    19674341us
------- Group17  count: 330000--------
1.1 BST Insert:    170492643us
1.2 BST Search:    35202us
1.3 BST Delete:    195661966us
2.1 AVL Insert:    3838398us
2.2 AVLT Search:   90us
2.3 AVLT Delete:   12465018us
3.1 BT Insert:    174027us
3.2 BT Search:    280us
3.3 BT Delete:    214567us
4.1 RBTree Insert:    158812us
4.2 RBTree Search:    69us
4.3 RBTree Delete:    21385246us
------- Group18  count: 350000--------
1.1 BST Insert:    199739595us
1.2 BST Search:    36026us
1.3 BST Delete:    226186416us
2.1 AVL Insert:    6510842us
2.2 AVLT Search:   102us
2.3 AVLT Delete:   13397378us
3.1 BT Insert:    223324us
3.2 BT Search:    275us
3.3 BT Delete:    272116us
4.1 RBTree Insert:    2456446us
4.2 RBTree Search:    69us
4.3 RBTree Delete:    21349366us
------- Group19  count: 370000--------
1.1 BST Insert:    224580692us
1.2 BST Search:    34909us
1.3 BST Delete:    254521943us
2.1 AVL Insert:    5699946us
2.2 AVLT Search:   91us
2.3 AVLT Delete:   14293848us
3.1 BT Insert:    234391us
3.2 BT Search:    228us
3.3 BT Delete:    244726us
4.1 RBTree Insert:    186314us
4.2 RBTree Search:    68us
4.3 RBTree Delete:    22852123us
------- Group20  count: 390000--------
1.1 BST Insert:    255182740us
1.2 BST Search:    36613us
1.3 BST Delete:    287278445us
2.1 AVL Insert:    5502746us
2.2 AVLT Search:   91us
2.3 AVLT Delete:   15165501us
3.1 BT Insert:    234388us
3.2 BT Search:    281us
3.3 BT Delete:    256061us
4.1 RBTree Insert:    185220us
4.2 RBTree Search:    70us
4.3 RBTree Delete:    26032671us
