********* Type 1 ***********
------- Group1  count: 10000--------
1.1 BST Insert:    77345us
1.2 BST Search:    22300us
1.3 BST Delete:    62us
2.1 AVL Insert:    7375us
2.2 AVLT Search:    73us
2.3 AVLT Delete:    217637us
3.1 BT Insert:    3551us
3.2 BT Search:    259us
3.3 BT Delete:    14514us
4.1 RBTree Insert:    275910us
4.2 RBTree Search:    57us
4.3 RBTree Delete:    511250us
------- Group2  count: 30000--------
1.1 BST Insert:    1195412us
1.2 BST Search:    32029us
1.3 BST Delete:    180us
2.1 AVL Insert:    21835us
2.2 AVLT Search:    80us
2.3 AVLT Delete:    1240438us
3.1 BT Insert:    5290us
3.2 BT Search:    212us
3.3 BT Delete:    42359us
4.1 RBTree Insert:    15415us
4.2 RBTree Search:    82us
4.3 RBTree Delete:    1805406us
------- Group3  count: 50000--------
1.1 BST Insert:    2831402us
1.2 BST Search:    31556us
1.3 BST Delete:    318us
2.1 AVL Insert:    34987us
2.2 AVLT Search:    82us
2.3 AVLT Delete:    2204825us
3.1 BT Insert:    30027us
3.2 BT Search:    270us
3.3 BT Delete:    62084us
4.1 RBTree Insert:    25769us
4.2 RBTree Search:    64us
4.3 RBTree Delete:    3059835us
------- Group4  count: 70000--------
1.1 BST Insert:    4141538us
1.2 BST Search:    32066us
1.3 BST Delete:    443us
2.1 AVL Insert:    50823us
2.2 AVLT Search:    83us
2.3 AVLT Delete:    2957601us
3.1 BT Insert:    42035us
3.2 BT Search:    270us
3.3 BT Delete:    96206us
4.1 RBTree Insert:    35636us
4.2 RBTree Search:    61us
4.3 RBTree Delete:    4011891us
------- Group5  count: 90000--------
1.1 BST Insert:    6600712us
1.2 BST Search:    31266us
1.3 BST Delete:    605us
2.1 AVL Insert:    65412us
2.2 AVLT Search:    79us
2.3 AVLT Delete:    3596988us
3.1 BT Insert:    6983us
3.2 BT Search:    218us
3.3 BT Delete:    127195us
4.1 RBTree Insert:    46216us
4.2 RBTree Search:    65us
4.3 RBTree Delete:    5551419us
------- Group6  count: 110000--------
1.1 BST Insert:    10389964us
1.2 BST Search:    32038us
1.3 BST Delete:    758us
2.1 AVL Insert:    80776us
2.2 AVLT Search:    106us
2.3 AVLT Delete:    4240810us
3.1 BT Insert:    48376us
3.2 BT Search:    264us
3.3 BT Delete:    154649us
4.1 RBTree Insert:    57041us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    7140408us
------- Group7  count: 130000--------
