********* Type 3 ***********
1.2 BST Search:    102us
1.3 BST Delete:    558125us
2.1 AVL Insert:    147891us
2.2 AVLT Search:   92us
2.3 AVLT Delete:   70898us
3.1 BT Insert:    260266us
3.2 BT Search:    306us
3.3 BT Delete:    335589us
4.1 RBTree Insert:    3042258us
4.2 RBTree Search:    65us
4.3 RBTree Delete:    31288us
------- Group18  count: 350000--------
1.1 BST Insert:    386233us
1.2 BST Search:    93us
1.3 BST Delete:    658875us
2.1 AVL Insert:    149565us
2.2 AVLT Search:   84us
2.3 AVLT Delete:   63171us
3.1 BT Insert:    255964us
3.2 BT Search:    429us
3.3 BT Delete:    349243us
4.1 RBTree Insert:    6725433us
4.2 RBTree Search:    70us
4.3 RBTree Delete:    31845us
------- Group19  count: 370000--------
1.1 BST Insert:    434218us
1.2 BST Search:    111us
1.3 BST Delete:    701920us
2.1 AVL Insert:    167646us
2.2 AVLT Search:   85us
2.3 AVLT Delete:   78634us
3.1 BT Insert:    265333us
3.2 BT Search:    450us
3.3 BT Delete:    389375us
4.1 RBTree Insert:    7458231us
4.2 RBTree Search:    61us
4.3 RBTree Delete:    32262us
------- Group20  count: 390000--------
1.1 BST Insert:    477105us
1.2 BST Search:    103us
1.3 BST Delete:    843308us
2.1 AVL Insert:    169883us
2.2 AVLT Search:   74us
2.3 AVLT Delete:   69257us
3.1 BT Insert:    301343us
3.2 BT Search:    477us
3.3 BT Delete:    412507us
4.1 RBTree Insert:    10008126us
4.2 RBTree Search:    63us
4.3 RBTree Delete:    32774us
